sched;mean;sd
Sequencial;164.;3.4401308114663314
Estático;60.269999999999996;0.6606814663663573
din-1;24.28;0.36124783736376886
din-100;23.860000000000003;0.5508175741568165
din-1000;40.39;1.160387866189577
din-2000;60.78;0.5408326913195984
